ID,Security Description,Symbol,Country,Sector,Asset Class,Asset Group,Shares/Par,Market Value,% of Portfolio,Book Cost,Price Cost,Price Close,Price Change %,Attribution to Book P&L %,Coupon Rate,CUSIP,ISIN,ESG,environment,Social,Governance,Symbol Unq.
40279,Manchester United Plc,MANU US Equity,United States,Consumer Discretionary,Equity,Domestic Stock,"26,361","586,693",2%,"496,329",18.83,22.26,18%,0%,0,G5784H106,KYG5784H1065,-,-,-,-,MANU US Equity
8739,Aena Sa,AENA SM Equity,Europe,Industrials,Equity,Foreign Stock,"2,789","575,621",2%,"548,926",196.82,206.39,5%,0%,0,,ES0105046009,-,-,-,-,ES0105046009 Equity
26460,Etsy Inc.,ETSY US Equity,United States,Consumer Discretionary,Equity,Domestic Stock,"2,072","567,030",2%,"536,937",259.14,273.66,6%,0%,0,29786A106,US29786A1060,-,-,-,-,ETSY US Equity
1251,Apple Inc,AAPL US Equity,United States,Information Technology,Equity,Foreign Stock,"2,916","561,413",2%,"438,944",150.53,192.53,28%,0%,0,037833100,US0378331005,-,-,-,-,EQ0010169500001000 Equity
22572,Tencent Holdings Limited,700 HK Equity,Hong Kong,Communication Services,Equity,Foreign Stock,"6,900","547,007",2%,"666,251",96.56,79.28,-18%,0%,0,,KYG875721634,-,-,-,-,KYG875721634 Equity
46435,Swedish Match Ab,SWMAF Equity,Sweden,Consumer Staples,Equity,Foreign Stock,"45,280","528,173",2%,"440,533",9.73,11.66,20%,0%,0,BP09MR2,SE0015812219,-,-,-,-,SWMAF Equity
28169,Wynn Resorts Ltd.,WYNN US Equity,United States,Consumer Discretionary,Equity,Domestic Stock,"4,134","526,991",2%,"558,760",135.16,127.48,-6%,0%,0,983134107,US9831341071,-,-,-,-,WYNN US Equity
1770,Jack Henry & Associates Inc,JKHY US Equity,United States,Information Technology,Equity,Foreign Stock,"2,318","518,823",2%,"451,776",194.90,223.82,15%,0%,0,426281101,US4262811015,-,-,-,-,EQ0010484800001000 Equity
8292,Constellation Software Inc.,CSU CN Equity,Canada,Information Technology,Equity,Domestic Stock,239,"517,851",2%,"370,374",1549.68,2166.74,40%,0%,0,21037X100,CA21037X1006,-,-,-,-,B15C4L6 CN Equity
28887,Uber Technologies Inc.,UBER US Equity,United States,Industrials,Equity,Domestic Stock,"10,085","517,146",2%,"703,116",69.72,51.28,-26%,0%,0,90353T100,US90353T1007,-,-,-,-,UBER US Equity
42395,Roper Technologies Inc.,ROP US Equity,United States,Industrials,Equity,Domestic Stock,844,"514,876",2%,"450,090",533.28,610.04,14%,0%,0,776696106,US7766961061,-,-,-,-,ROP US Equity
18957,Corteva Inc,CTVA-W US Equity,United States,Materials,Equity,Foreign Stock,"8,648","484,507",2%,"402,533",46.55,56.03,20%,0%,0,22052L104,US22052L1044,-,-,-,-,CTVA-W US Equity
38881,Angi Homeservices Inc.,ANGI US Equity,United States,Communication Services,Equity,Domestic Stock,"35,586","467,656",2%,"559,658",15.73,13.14,-16%,0%,0,00183L102,US00183L1026,-,-,-,-,ANGI US Equity
46846,"New Oriental Education & Technology Group Inc., Ad",EDU US Equity,United States,Consumer Staples,Equity,Domestic Stock,"157,435","467,053",2%,"521,668",3.31,2.97,-10%,0%,0,647581107,US6475811070,-,-,-,-,EDU US Equity
29819,Aon Plc,AON US Equity,United States,Financials,Equity,Domestic Stock,"1,273","463,453",2%,"311,770",244.91,364.06,49%,0%,0,G0403H108,IE00BLP1HW54,-,-,-,-,G0403H108 Equity
12101,Biogen Inc.,BIIB US Equity,United States,Health Care,Equity,Domestic Stock,"1,074","458,592",2%,"549,668",511.80,426.99,-17%,0%,0,09062X103,US09062X1037,-,-,-,-,2455965 US Equity
