,Portfolio,AssetType,AssetNumber,Ticker,Name,Units,CurrentMarketValue,AverageCost,LastPrice,CurrentWeight,PostTradeMarketValue,PostTradeWeight,IndicativeYield,OptPC,OptStrike,OptExpiryYYYYMMDD
76,BDIN_Portfolio,OP,23,SPY US V1521C420000 Equity,SPDR S&P 500 ETF Trust,-1000.0,-364723.2145,2.786,2.86,-0.8,-364723.0,-0.8,0.0,P,420.0,20211015
77,BDIN_Portfolio,CA,1,PSA CN Equity,Purpose High Interest Savings ETF,149358.0,7467900.0,50.0179,50.0,17.1,7467900.0,17.1,0.6,,0.0,
78,BDIN_Portfolio,CA,2,CAD Curncy,USDCAD Spot Exchange Rate - Price of 1 USD in CAD,2548365.3,2548365.33,1.0,0.0,5.8,2548365.0,5.8,0.0,,0.0,
79,BDIN_Portfolio,CA,3,OPXBCI56 Curncy,#N/A Field Not Applicable,20000000.0,48290.6946,1.04,0.241453,0.1,48291.0,0.1,0.0,,0.0,
80,BDIN_Portfolio,CA,4,USD Curncy,USDUSD Spot Exchange Rate - Price of 1 USD in USD,8166.5,10342.0809,1.0,0.0,0.0,10342.0,0.0,0.0,,0.0,
81,BDIN_Portfolio,CA,5,MXN Curncy,USDMXN Spot Exchange Rate - Price of 1 USD in MXN,125100.0,7945.3269,1.0,0.0,0.0,7945.0,0.0,0.0,,0.0,
82,BDIN_Portfolio,CA,6,USD Curncy,USDUSD Spot Exchange Rate - Price of 1 USD in USD,-424248.7,-537268.6043,1.0,0.0,-1.2,-537269.0,-1.2,0.0,,0.0,
83,BDOP_Portfolio,EQ,1,ANGI US Equity,Angi Inc,240423.0,3154326.5749,12.2956,10.35,4.7,3154327.0,4.7,0.0,,0.0,
84,BDOP_Portfolio,EQ,2,COTY US Equity,Coty Inc,254449.0,2719656.6276,8.4899,8.44,4.0,2719657.0,4.0,0.0,,0.0,
85,BDOP_Portfolio,EQ,3,WYNN US Equity,Wynn Resorts Ltd,20612.0,2712888.8217,94.9448,103.900009,4.0,2712889.0,4.0,0.0,,0.0,
86,BDOP_Portfolio,EQ,4,ALSEA* MM Equity,Alsea SAB de CV,1024774.0,2671749.5932,25.5517,41.050003,3.9,2671750.0,3.9,0.0,,0.0,
87,BDOP_Portfolio,EQ,5,AC FP Equity,Accor SA,60418.0,2604011.8731,31.4883,28.779999,3.8,2604012.0,3.8,0.0,,0.0,
88,BDOP_Portfolio,EQ,6,BEKE US Equity,KE Holdings Inc,100570.0,2587993.6842,20.0781,20.279999,3.8,2587994.0,3.8,0.0,,0.0,
89,BDOP_Portfolio,EQ,7,PLAY US Equity,Dave & Buster's Entertainment Inc,57386.0,2575553.6388,35.5086,35.430008,3.8,2575554.0,3.8,0.0,,0.0,
90,BDOP_Portfolio,EQ,8,BABA US Equity,Alibaba Group Holding Ltd,11790.0,2498230.9353,201.2966,167.229996,3.7,2498231.0,3.7,0.0,,0.0,
91,BDOP_Portfolio,EQ,9,TAL US Equity,TAL Education Group,362770.0,2480824.6741,16.3838,5.39,3.7,2480825.0,3.7,0.0,,0.0,
92,BDOP_Portfolio,EQ,10,DUFN SW Equity,Dufry AG,37494.0,2402450.4522,53.3232,46.387009,3.5,2402450.0,3.5,0.0,,0.0,
93,BDOP_Portfolio,EQ,11,REAL US Equity,RealReal Inc/The,150054.0,2398158.2045,18.6411,12.61,3.5,2398158.0,3.5,0.0,,0.0,
94,BDOP_Portfolio,EQ,12,MSGE US Equity,Madison Square Garden Entertainment Corp,23407.0,2315089.1778,71.3477,78.100006,3.4,2315089.0,3.4,0.0,,0.0,
95,BDOP_Portfolio,EQ,13,AMS SM Equity,Amadeus IT Group SA,28466.0,2268752.7524,58.067,53.220001,3.3,2268753.0,3.3,0.0,,0.0,
96,BDOP_Portfolio,EQ,14,KC US Equity,Kingsoft Cloud Holdings Ltd,52936.0,2265219.6749,28.6769,33.790009,3.3,2265220.0,3.3,0.0,,0.0,
97,BDOP_Portfolio,EQ,15,TKA GR Equity,thyssenkrupp AG,166219.0,2260726.3498,9.8835,9.082,3.3,2260726.0,3.3,0.0,,0.0,
98,BDOP_Portfolio,EQ,16,TCEHY US Equity,Tencent Holdings Ltd,28166.0,2256447.4651,57.8031,63.25,3.3,2256447.0,3.3,0.3,,0.0,
99,BDOP_Portfolio,EQ,17,PRX NA Equity,Prosus NV,20257.0,2255191.9234,67.9158,74.339996,3.3,2255192.0,3.3,0.0,,0.0,
100,BDOP_Portfolio,EQ,18,ATL IM Equity,Atlantia SpA,94968.0,2244955.4034,15.846,15.785,3.3,2244955.0,3.3,0.0,,0.0,
101,BDOP_Portfolio,EQ,19,ATHM US Equity,Autohome Inc,38396.0,2239167.3255,42.25,45.949997,3.3,2239167.0,3.3,1.9,,0.0,
102,BDOP_Portfolio,EQ,20,IRTC US Equity,iRhythm Technologies Inc,34924.0,2152122.6521,52.8821,48.610001,3.2,2152123.0,3.2,0.0,,0.0,
103,BDOP_Portfolio,EQ,21,SABR US Equity,Sabre Corp,146057.0,2056828.4018,12.4426,11.11,3.0,2056828.0,3.0,0.0,,0.0,
104,BDOP_Portfolio,EQ,22,EDU US Equity,New Oriental Education & Technology Group Inc,647881.0,1846072.1214,4.2744,2.25,2.7,1846072.0,2.7,0.0,,0.0,
105,BDOP_Portfolio,EQ,23,MEL SM Equity,Melia Hotels International SA,204105.0,1787503.1678,6.1323,5.848,2.6,1787503.0,2.6,0.0,,0.0,
106,BDOP_Portfolio,EQ,24,YSG US Equity,Yatsen Holding Ltd,272591.0,1757115.0965,6.0018,5.08,2.6,1757115.0,2.6,0.0,,0.0,
107,BDOP_Portfolio,EQ,25,CIEL3 BZ Equity,Cielo SA,2881500.0,1748011.1673,3.9889,2.49,2.6,1748011.0,2.6,0.2,,0.0,
108,BDOP_Portfolio,EQ,26,JSG LN Equity,Johnson Service Group PLC,688907.0,1747970.2871,143.6366,144.800003,2.6,1747970.0,2.6,0.0,,0.0,
109,BDOP_Portfolio,EQ,27,SSPG LN Equity,SSP Group Plc,369508.0,1667270.0784,296.6003,257.5,2.5,1667270.0,2.5,0.0,,0.0,
110,BDOP_Portfolio,EQ,28,AGL IM Equity,Autogrill SpA,178577.0,1616886.2793,5.4991,6.046,2.4,1616886.0,2.4,0.0,,0.0,
111,BDOP_Portfolio,EQ,29,9901 HK Equity,New Oriental Education & Technology Group Inc,509900.0,1408163.4965,17.441,16.960007,2.1,1408163.0,2.1,0.0,,0.0,
112,BDOP_Portfolio,EQ,30,AENA SM Equity,Aena SME SA,6255.0,1246315.6455,140.6434,133.050003,1.8,1246316.0,1.8,0.0,,0.0,
113,BDOP_Portfolio,EQ,31,MTX GR Equity,MTU Aero Engines AG,4247.0,1202706.4717,198.4745,189.100006,1.8,1202706.0,1.8,0.7,,0.0,
114,BDOP_Portfolio,EQ,32,KRN GR Equity,Krones AG,1081.0,143998.3367,58.993,88.949997,0.2,143998.0,0.2,0.1,,0.0,
115,BDOP_Portfolio,EQ,33,788 HK Equity,China Tower Corp Ltd,440000.0,75228.7949,1.1779,1.05,0.1,75229.0,0.1,2.5,,0.0,
116,BDOP_Portfolio,OP,1,SPY US V1521C440000 Equity,SPDR S&P 500 ETF Trust,3000.0,2192138.2116,5.471,5.77,3.2,2192138.0,3.2,0.0,P,440.0,20211015
117,BDOP_Portfolio,OP,2,BABA US L1721C180000 Equity,Alibaba Group Holding Ltd,500.0,569880.0,13.41,9.0,0.8,569880.0,0.8,0.0,C,180.0,20211217
118,BDOP_Portfolio,OP,3,BIDU US L1721C170000 Equity,Baidu Inc,400.0,557216.0,7.7,11.0,0.8,557216.0,0.8,0.0,C,170.0,20211217
119,BDOP_Portfolio,OP,4,SPY US U1721C430000 Equity,SPDR S&P 500 ETF Trust,3000.0,277341.6072,6.0627,0.73,0.4,277342.0,0.4,0.0,P,430.0,20210917
120,BDOP_Portfolio,OP,5,BEKE US V1521D150000 Equity,KE Holdings Inc,750.0,56988.0023,1.35,0.6,0.1,56988.0,0.1,0.0,P,15.0,20211015
121,BDOP_Portfolio,OP,6,WYNN US O1822D700000 Equity,Wynn Resorts Ltd,200.0,48123.1903,3.5396,1.9,0.1,48123.0,0.1,0.0,P,70.0,20220318
122,BDOP_Portfolio,OP,7,TAL US K1921D325000 Equity,TAL Education Group,5100.0,32293.2,1.9619,0.05,0.0,32293.0,0.0,0.0,C,32.5,20211119
123,BDOP_Portfolio,OP,8,SPY US U0721C425000 Equity,SPDR S&P 500 ETF Trust,1000.0,3799.2,4.7325,0.03,0.0,3799.0,0.0,0.0,P,425.0,20210907
124,BDOP_Portfolio,OP,9,BABA US I1721C230000 Equity,Alibaba Group Holding Ltd,280.0,354.5919,6.5473,0.01,0.0,355.0,0.0,0.0,C,230.0,20210917
125,BDOP_Portfolio,OP,10,BABA US I1721C225000 Equity,Alibaba Group Holding Ltd,-140.0,-354.592,13.0,0.01,-0.0,-355.0,-0.0,0.0,C,225.0,20210917
126,BDOP_Portfolio,OP,11,SPY US U0721C400000 Equity,SPDR S&P 500 ETF Trust,-1000.0,-1266.4,1.923,0.01,-0.0,-1266.0,-0.0,0.0,P,400.0,20210907
127,BDOP_Portfolio,OP,12,WYNN US O1822D500000 Equity,Wynn Resorts Ltd,-200.0,-21528.8006,0.8401,0.5,-0.0,-21529.0,-0.0,0.0,P,50.0,20220318
128,BDOP_Portfolio,OP,13,SPY US U1721C410000 Equity,SPDR S&P 500 ETF Trust,-3000.0,-102578.3928,3.1994,0.26,-0.2,-102578.0,-0.2,0.0,P,410.0,20210917
129,BDOP_Portfolio,OP,14,EDU US U1721E450000 Equity,New Oriental Education & Technology Group Inc,-3527.0,-1027316.0032,2.3,2.2,-1.5,-1027316.0,-1.5,0.0,P,450000.0,20210917
130,BDOP_Portfolio,CA,1,CAD Curncy,USDCAD Spot Exchange Rate - Price of 1 USD in CAD,1101299.0,1101298.8,1.0,0.0,1.6,1101299.0,1.6,0.0,,0.0,
131,BDOP_Portfolio,CA,2,OPXBCI56 Curncy,#N/A Field Not Applicable,70000000.0,164589.9899,1.04,0.235129,0.2,164590.0,0.2,0.0,,0.0,
132,BDOP_Portfolio,CA,3,GBP Curncy,GBPUSD Spot Exchange Rate - Price of 1 GBP in USD,7307.0,12803.5474,1.0,0.0,0.0,12804.0,0.0,0.0,,0.0,
133,BDOP_Portfolio,CA,4,EUR Curncy,EURUSD Spot Exchange Rate - Price of 1 EUR in USD,196.0,293.8823,1.0,0.0,0.0,294.0,0.0,0.0,,0.0,
134,BDOP_Portfolio,CA,5,USD Curncy,USDUSD Spot Exchange Rate - Price of 1 USD in USD,-2692633.0,-3409949.836,1.0,0.0,-5.0,-3409950.0,-5.0,0.0,,0.0,
135,BDEQ_Portfolio,EQ,1,CRM US Equity,salesforce.com Inc,3433.0,1133275.8317,227.7906,260.669922,3.7,1133276.0,3.7,0.0,,0.0,
136,BDEQ_Portfolio,EQ,2,WDAY US Equity,Workday Inc,3172.0,1084595.616,223.5247,269.969971,3.6,1084596.0,3.6,0.0,,0.0,
137,BDEQ_Portfolio,EQ,3,FB US Equity,Facebook Inc,1959.0,937771.7328,271.3274,378.0,3.1,937772.0,3.1,0.0,,0.0,
138,BDEQ_Portfolio,EQ,4,AMZN US Equity,Amazon.com Inc,207.0,913354.4033,3202.2293,3484.159912,3.0,913354.0,3.0,0.0,,0.0,
139,BDEQ_Portfolio,EQ,5,UBER US Equity,Uber Technologies Inc,17681.0,903037.8791,48.9388,40.330002,3.0,903038.0,3.0,0.0,,0.0,
140,BDEQ_Portfolio,EQ,6,RH US Equity,RH,981.0,898210.6632,447.0915,723.0,3.0,898211.0,3.0,0.0,,0.0,
141,BDEQ_Portfolio,EQ,7,RBLX US Equity,ROBLOX Corp,7590.0,829417.4912,72.7073,86.290009,2.7,829417.0,2.7,0.0,,0.0,
142,BDEQ_Portfolio,EQ,8,MTX GR Equity,MTU Aero Engines AG,2778.0,786700.8661,187.8935,189.100006,2.6,786701.0,2.6,0.7,,0.0,
143,BDEQ_Portfolio,EQ,9,DB1 GR Equity,Deutsche Boerse AG,3630.0,781176.6043,135.1527,143.699997,2.6,781177.0,2.6,2.1,,0.0,
144,BDEQ_Portfolio,EQ,10,COIN US Equity,Coinbase Global Inc,2205.0,716030.0669,293.8761,256.27002,2.4,716030.0,2.4,0.0,,0.0,
145,BDEQ_Portfolio,EQ,11,AMS SM Equity,Amadeus IT Group SA,8784.0,700088.6734,54.5859,53.220001,2.3,700089.0,2.3,0.0,,0.0,
146,BDEQ_Portfolio,EQ,12,PDD US Equity,Pinduoduo Inc,5253.0,693712.1805,79.1959,104.290009,2.3,693712.0,2.3,0.0,,0.0,
147,BDEQ_Portfolio,EQ,13,ME US Equity,23andMe Holding Co,61633.0,668125.4198,9.7399,8.55,2.2,668125.0,2.2,0.0,,0.0,
